  4 12 19 0130 D   278.6     7.9     7.1     0.3   277.0     5.2    11.3     0.4    -1.1    88.0    -0.2     0.0     0.00   -44.30    98.13     0.57     3.2     7.3    11.4
  4 12 19 0230 D   276.8     7.1     7.6    -0.1   274.9     4.6    11.0    -0.1    -1.5    87.8    -0.2     0.0     0.00   -46.50    98.15     0.55     3.2     7.3    11.4
  4 12 19 0330 D   266.8     5.7     6.6    -0.6   261.5     3.7     8.1    -0.6    -2.1    88.0     0.1     0.0     0.00   -46.50    98.14     0.53     3.2     7.3    11.4
  4 12 19 0430 D   272.2     8.2     7.9    -0.7   270.7     5.1    10.7    -0.7    -2.2    88.0    -0.1     0.0     0.00   -41.70    98.14     0.52     3.2     7.3    11.4
  4 12 19 0530 D   284.3     7.2     8.3    -0.5   281.8     4.9    11.4    -0.3    -2.2    85.7    -0.3     0.0     0.00   -48.20    98.18     0.52     3.1     7.3    11.4
  4 12 19 0630 D   284.6     6.7     8.8    -0.7   281.7     4.6    11.4    -0.6    -2.3    86.1    -0.2     0.0     0.20   -51.10    98.23     0.52     3.1     7.3    11.3
  4 12 19 0730 D   284.4     6.5     8.7    -0.7   283.5     4.6    12.3    -0.5    -2.3    86.0    -0.3     0.0    48.10   -27.10    98.26     0.52     3.1     7.3    11.4
  4 12 19 0830 C   285.9     6.5    10.4     0.3   283.8     4.9    13.0     0.5    -2.0    81.3    -0.4     0.0   189.30    67.00    98.34     0.53     3.0     7.3    11.4
  4 12 19 0930 D   288.0     7.6     9.3     1.4   286.0     5.9    13.3     1.8    -1.7    75.4    -0.8     0.0   322.00   208.10    98.45     0.54     3.0     7.3    11.4
  4 12 19 1030 D   290.8     8.3     9.6     2.7   293.3     6.8    13.5     3.3    -1.6    68.7    -1.3     0.0   413.10   256.60    98.51     0.54     3.0     7.3    11.4
  4 12 19 1130 D   293.1     8.4    11.2     3.7   291.6     6.7    15.5     4.4    -1.4    64.3    -1.5     0.0   453.20   284.50    98.50     0.55     3.0     7.3    11.4
  4 12 19 1230 D   296.1     9.3    10.8     4.3   297.2     7.4    15.1     5.1    -1.6    61.0    -1.5     0.0   437.20   269.00    98.49     0.55     3.0     7.3    11.4
  4 12 19 1330 D   296.0     9.0    10.8     4.8   295.2     6.7    15.1     5.5    -1.6    59.0    -1.4     0.0   356.70   212.90    98.52     0.54     3.0     7.2    11.4
  4 12 19 1430 D   291.5     8.5    11.3     5.1   289.5     6.8    14.0     5.7    -1.5    58.5    -1.1     0.0   249.00   140.00    98.59     0.55     3.1     7.2    11.4
  4 12 19 1530 D   292.1     7.1    11.1     5.2   294.9     5.5    14.3     5.6    -1.6    58.8    -0.8     0.0   103.50    24.30    98.67     0.54     3.1     7.2    11.4
  4 12 19 1630 D   290.1     6.9     9.1     4.7   292.8     5.1    13.0     4.8    -1.1    63.9    -0.3     0.0     6.60   -35.90    98.73     0.56     3.1     7.2    11.3
  4 12 19 1730 D   285.8     6.2     8.2     4.0   287.1     4.1    11.8     4.1    -0.7    69.5    -0.1     0.0     0.00   -39.90    98.78     0.58     3.1     7.2    11.3
  4 12 19 1830 D   286.7     6.0     8.3     3.3   285.0     3.9    11.2     3.3    -0.4    74.9    -0.1     0.0     0.00   -40.80    98.83     0.60     3.2     7.2    11.3
  4 12 19 1930 D   288.4     5.8     7.2     2.6   286.7     3.7     9.8     2.6    -0.6    77.8     0.1     0.0     0.00   -41.90    98.88     0.59     3.2     7.2    11.3
  4 12 19 2030 D   298.0     5.4     6.3     2.0   295.5     2.9    10.4     1.8    -0.7    81.2     0.4     0.0     0.00   -43.00    98.94     0.58     3.2     7.2    11.3
  4 12 19 2130 D   302.9     5.5     4.8     1.4   303.6     3.2     9.6     1.2    -0.9    83.4     0.4     0.0     0.00   -44.10    98.98     0.57     3.1     7.2    11.3
  4 12 19 2230 D   308.2     5.2     7.2     1.0   299.1     2.4    11.4     0.5    -1.3    86.2     1.0     0.0     0.00   -39.60    99.03     0.56     3.1     7.2    11.3
  4 12 19 2330 D   316.0     4.6     5.4     0.9   294.2     1.9    11.1     0.1    -1.5    87.2     1.6     0.0     0.00   -28.50    99.06     0.55     3.1     7.2    11.3
  4 12 19 2400 X   288.3     7.0     8.2     1.9   286.8     4.8    12.2     2.0    -1.4    77.1    -0.3     0.0   107.50    33.40    98.53     0.55     3.1     7.2    11.3
  5 12 19 0030 E   299.3     4.5     6.7     0.4   284.3     2.4     6.5    -0.7    -1.8    90.2     2.1     0.0     0.00   -25.80    99.06     0.54     3.0     7.2    11.3
  5 12 19 0130 E   312.8     5.0     5.7     0.8   296.0     2.3     7.0    -0.8    -2.0    91.0     3.3     0.0     0.00   -21.70    99.09     0.53     3.0     7.2    11.3
  5 12 19 0230 D   297.8     4.4    12.9     0.5   277.4     2.4     8.1    -1.1    -2.2    90.5     3.1     0.0     0.00   -19.70    99.12     0.52     2.9     7.2    11.3
  5 12 19 0330 E   277.2     3.7    15.6    -0.3   251.4     2.0     6.9    -2.0    -2.6    94.9     3.3     0.0     0.00   -16.60    99.15     0.51     2.8     7.1    11.3
  5 12 19 0430 E   311.8     3.0    10.6     0.6   268.3     1.5    17.0    -2.2    -2.6    95.7     5.5     0.0     0.00   -12.30    99.15     0.50     2.7     7.1    11.3
  5 12 19 0530 E   310.2     2.4    11.2     0.5   250.2     1.7     6.7    -2.3    -2.7    96.0     5.5     0.0     0.00   -11.40    99.20     0.50     2.7     7.1    11.3
  5 12 19 0630 D   258.5     2.1    16.2    -0.5   237.1     1.8     6.6    -2.5    -2.9    96.9     4.1     0.0     0.50    -9.10    99.26     0.50     2.6     7.1    11.2
  5 12 19 0730 B   224.5     3.1     8.6    -1.0   238.1     1.9     9.4    -2.5    -2.7    98.3     3.1     0.0    89.80    32.80    99.30     0.50     2.5     7.2    11.2
  5 12 19 0830 B   220.0     3.1     6.4    -0.7   222.1     1.9    11.4    -1.2    -1.5    96.1     1.0     0.0   267.50   150.90    99.40     0.55     2.5     7.2    11.3
  5 12 19 0930 C   192.4     2.4    15.5     0.8   198.4     2.2    13.7     1.0    -0.4    87.8    -0.4     0.0   287.70   167.40    99.53     0.59     2.4     7.2    11.3
  5 12 19 1030 B   189.7     4.2    11.1     2.5   194.4     3.6    14.6     3.0    -1.0    73.5    -1.0     0.0   356.40   213.80    99.57     0.57     2.4     7.2    11.3
  5 12 19 1130 B   182.0     5.2    12.9     4.1   184.7     4.3    15.8     4.7    -1.5    62.9    -1.3     0.0   378.30   237.30    99.51     0.55     2.3     7.2    11.3
  5 12 19 1230 B   185.5     5.2    13.6     5.0   185.3     4.3    17.6     5.8    -0.7    62.0    -1.4     0.0   423.80   271.00    99.41     0.58     2.3     7.2    11.3
  5 12 19 1330 C   178.9     4.9    12.3     5.5   180.2     3.9    15.9     6.2     0.1    64.0    -1.4     0.0   249.10   150.80    99.36     0.62     2.3     7.3    11.3
  5 12 19 1430 C   175.1     5.3     9.8     6.3   177.8     4.0    14.2     6.9     0.8    64.3    -1.2     0.0   221.20   131.60    99.33     0.65     2.3     7.3    11.3
  5 12 19 1530 C   182.9     6.0     8.2     6.8   185.8     4.0    11.8     7.2     1.1    64.2    -0.9     0.0   107.20    30.50    99.34     0.66     2.3     7.3    11.3
